,Set,Parameter,Value,Accuracy,Precision (No),Precision (Yes),Recall (No),Recall (Yes),f1-score (No),f1-score (Yes)
0,Training,kernel,linear,0.8685784164749126,0.8670227101909165,0.8698065835160753,0.835545669235092,0.8954801743806795,0.8509554164624195,0.8824332006874617
2,Training,kernel,poly,0.8913104748259743,0.8972569668001554,0.8870273148548286,0.8562103242253816,0.9198840366081983,0.8761612126322447,0.9031027497218302
4,Training,kernel,rbf,0.8839114893124357,0.8962476391081884,0.8749585703801779,0.8385187863196994,0.9209133145806898,0.8663990988701415,0.897333491932417
6,Training,kernel,sigmoid,0.7931100667158715,0.7643961896484998,0.8192868806333331,0.7811260254910798,0.803021777811035,0.7718832567010361,0.8104459248206057
1,Validating,kernel,linear,0.8535409932412577,0.8440233932739056,0.8582740633276205,0.8204623902346861,0.8817789770705737,0.8305949114166843,0.8687124559586469
3,Validating,kernel,poly,0.8535263003232443,0.851975540768187,0.8526964755922725,0.8088171298145722,0.8826933415331585,0.828655735612388,0.866467702986417
5,Validating,kernel,rbf,0.8642521304731121,0.8663405518817259,0.8583365609831022,0.8164539386328332,0.9023753829502545,0.8401859893169625,0.8794124571181866
7,Validating,kernel,sigmoid,0.8232295033793712,0.7996076790699216,0.8446999459208216,0.808092776704082,0.8349506873589216,0.8020353612646568,0.8383993092769646
