,Decision Tree,Random Forest,Support Vector Machine,k Nearest Neighbors
Accuracy,0.823847048398519,0.8536549672252962,0.859186867092037,0.8588241135052757
Precision,0.8260375421375139,0.8580573189432334,0.8628022796941435,0.8648692319553264
Specificity,0.7826229626280925,0.8179054676934294,0.8224958052950528,0.811535875754412
Sensitivity,0.856271426043499,0.8870499407340965,0.892033541507103,0.9033355293868943
AUC,0.8194471943357957,0.8524777042137629,0.857264673401078,0.8574357025706533
